Joint_1_x,Joint_1_y,Joint_1_z,Joint_2_x,Joint_2_y,Joint_2_z,Joint_3_x,Joint_3_y,Joint_3_z,Correct
-0.3017601,0.7005088,-2.394472,-0.3756284,0.9194825,-2.262781,-0.2966777,1.156358,-2.165493,1
-0.301843,0.7016331,-2.399184,-0.3725129,0.9211604,-2.266662,-0.2910704,1.157795,-2.170853,1
-0.299772,0.705295,-2.399802,-0.3694559,0.9249261,-2.26693,-0.2876934,1.161609,-2.171512,1
-0.2972248,0.706963,-2.399491,-0.3644552,0.9276165,-2.26705,-0.2830128,1.164751,-2.172484,1
-0.2916647,0.7093569,-2.397982,-0.3577219,0.9310131,-2.26663,-0.2773202,1.168708,-2.172583,1
-0.2938339,0.7104269,-2.399256,-0.3571899,0.933166,-2.268406,-0.2778729,1.171385,-2.174763,1
-0.2931911,0.7091671,-2.399822,-0.354461,0.9317985,-2.2678,-0.2755224,1.17025,-2.17443,1
-0.294592,0.7097737,-2.399519,-0.3537144,0.9327459,-2.267093,-0.2746976,1.171318,-2.174098,1
-0.2935385,0.7084632,-2.399014,-0.3516234,0.9320162,-2.26711,-0.273498,1.171218,-2.174984,1
-0.2945,0.709466,-2.397719,-0.3512652,0.9329661,-2.265152,-0.2727815,1.172012,-2.172928,1
-0.2933348,0.7100097,-2.398967,-0.3498572,0.9331776,-2.265738,-0.2712922,1.172073,-2.173191,1
-0.2927519,0.7083797,-2.396953,-0.3490128,0.9320086,-2.264388,-0.2701616,1.171137,-2.17269,1
-0.2944248,0.7081083,-2.393611,-0.3510096,0.9314291,-2.260666,-0.2721507,1.170312,-2.168337,1
-0.2954642,0.708862,-2.394934,-0.3520318,0.932451,-2.262432,-0.2728838,1.171291,-2.170242,1
-0.2950376,0.7073618,-2.396834,-0.3522097,0.9300761,-2.263125,-0.2720434,1.168374,-2.170411,1
-0.2957484,0.7051774,-2.398826,-0.3538707,0.9276417,-2.26511,-0.2716648,1.165362,-2.1727,1
-0.2974927,0.7055939,-2.39837,-0.3580233,0.9273797,-2.264596,-0.2759051,1.16482,-2.171391,1
-0.2995645,0.7057521,-2.396074,-0.3644238,0.9260383,-2.261852,-0.2823108,1.16305,-2.167559,1
-0.2983755,0.7051699,-2.40086,-0.3670729,0.9248796,-2.267605,-0.2892566,1.163071,-2.172642,1
-0.2992376,0.7042629,-2.400529,-0.3708922,0.9239344,-2.268778,-0.2968602,1.162901,-2.172744,1
-0.3010035,0.70472,-2.403723,-0.375757,0.9231696,-2.271661,-0.3045131,1.162211,-2.173724,1
-0.3001517,0.7023648,-2.40831,-0.3766644,0.9212626,-2.27801,-0.3070853,1.160756,-2.179978,1
-0.3007914,0.7026049,-2.409329,-0.3794742,0.920576,-2.278768,-0.3102813,1.159552,-2.179215,1
-0.3050283,0.7004328,-2.412352,-0.387941,0.9151602,-2.279062,-0.3151082,1.152158,-2.177397,1
-0.3070994,0.699335,-2.411604,-0.3958822,0.9109781,-2.277167,-0.3206828,1.146395,-2.173571,1
-0.3094614,0.6972337,-2.414509,-0.4041023,0.9056777,-2.279074,-0.330145,1.140571,-2.173416,1
-0.3110226,0.6939256,-2.41628,-0.4100994,0.9008719,-2.281723,-0.3394003,1.136199,-2.174807,1
-0.3139835,0.6903325,-2.412713,-0.4161049,0.895464,-2.277655,-0.3431371,1.129516,-2.169471,1
-0.3135286,0.6877678,-2.413593,-0.4205679,0.88899,-2.276477,-0.3438996,1.121073,-2.166622,1
-0.3172646,0.6837074,-2.410071,-0.4285799,0.8819531,-2.272027,-0.3477812,1.112251,-2.161381,1
-0.3183435,0.6818352,-2.411033,-0.4346565,0.8778127,-2.273874,-0.3544359,1.107802,-2.162168,1
-0.3222991,0.6775554,-2.417639,-0.4519881,0.867506,-2.284042,-0.3816637,1.098644,-2.168121,1
-0.3241515,0.6759557,-2.42174,-0.4600294,0.8635747,-2.291031,-0.3939356,1.09446,-2.172153,1
-0.3290386,0.6722725,-2.417737,-0.4717219,0.8571334,-2.290393,-0.4077255,1.08729,-2.168981,1
-0.3294426,0.6715555,-2.421908,-0.4777083,0.8532568,-2.296407,-0.4159716,1.082289,-2.171743,1
-0.3293578,0.67052,-2.424339,-0.483479,0.8491929,-2.301575,-0.426048,1.07746,-2.173496,1
-0.3302127,0.6699474,-2.434286,-0.492694,0.8432503,-2.314643,-0.4393227,1.069822,-2.181883,1
-0.3348295,0.6677443,-2.436278,-0.4996336,0.8380274,-2.315481,-0.4454156,1.06408,-2.18218,1
-0.3342028,0.6656592,-2.43837,-0.5038146,0.8309461,-2.317289,-0.4499341,1.056739,-2.183413,1
-0.3369885,0.6603978,-2.433111,-0.5140355,0.8197585,-2.314759,-0.4605747,1.04458,-2.179093,1
-0.3370535,0.659894,-2.434646,-0.5183843,0.8153482,-2.317591,-0.4670675,1.039771,-2.180444,1
-0.3386931,0.6586009,-2.433016,-0.5235785,0.8101307,-2.316377,-0.4741895,1.034658,-2.178694,1
-0.3419826,0.6544015,-2.437413,-0.530507,0.8018379,-2.321355,-0.4830469,1.026968,-2.183979,1
-0.3426833,0.6529946,-2.440652,-0.534747,0.7952676,-2.323954,-0.4870564,1.019053,-2.184476,1
-0.3446859,0.6508363,-2.443837,-0.5413131,0.785992,-2.326283,-0.4921289,1.007906,-2.184355,1
-0.3456391,0.6503099,-2.444202,-0.5454257,0.7805001,-2.32637,-0.4964662,1.00168,-2.183224,1
-0.3476977,0.6452131,-2.432337,-0.5510445,0.769211,-2.313918,-0.5004303,0.9898167,-2.170462,1
-0.3490759,0.6448833,-2.439024,-0.5552726,0.7645388,-2.321066,-0.5034006,0.9846023,-2.177227,1
-0.3517224,0.6425316,-2.444085,-0.5613183,0.7576134,-2.327576,-0.5105571,0.9769315,-2.18221,1
